Uniprot ID,Gene Name,Log2 Ratio L/H NormalizedWTday01,Log2 Ratio L/H NormalizedWTday06,Log2 Ratio L/H NormalizedWTday12,Log2 Ratio L/H NormalizedWTday17,Log2 Ratio L/H NormalizedWTday22,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids)
Q9N391,,NA,NA,NA,NA,NA,6.00E-41,24.2,223
Q9N392,oxy-4,NA,-0.115565996,NA,NA,NA,1.36E-33,13.3,457
Q9N393,,0.093478782,-0.087598618,0.178893925,0.126722253,0.044612794,6.84E-147,51.4,453
Q9N3A9,,NA,NA,NA,NA,NA,0.00073446,2.5,432
Q9N3B0,Y54G2A.23,0.182474972,-0.017921908,-0.028710586,-0.280243696,-0.346871814,1.18E-49,51.2,168
Q9N3B8,,NA,NA,NA,NA,NA,2.25E-35,12.1,157
Q9N3B9,clec-83,-0.234746552,-0.9347052,NA,-0.250233981,0.382250158,4.54E-10,5.5,237
Q9N3C9,rpb-7,-0.41802799,-0.243181602,-0.489337409,-0.591009131,-0.367259224,6.20E-41,31,197
Q9N3D0,,0.192711031,0.109078648,0.468571126,0.377425683,0.662939766,6.90E-66,33.3,183
Q9N3D1,,NA,NA,0.211982552,NA,NA,2.29E-21,11.5,304
Q9N3D3,,0.442222329,0.460607894,0.213219654,NA,NA,3.03E-24,32.1,364
Q9N3D9,nduf-5,0.112833498,-0.164271398,-0.162983392,-0.525868423,-0.620117165,5.94E-112,57,121
Q9N3E0,dnj-28,-3.034532679,0.409623139,0.848219099,0.721753509,NA,2.73E-71,18.8,494
Q9N3E8;O44994,,NA,1.129008029,NA,0.377481907,NA,5.64E-81,23.6,547
Q9N3F0,Y54E10A.10,0.433915509,-0.091936738,-0.456175325,-0.611455697,-0.945682608,7.62E-182,48.5,297
Q9N3F1,Y54E10A.5,-0.192067884,-0.368824212,0.045535652,-0.014783753,0.460985155,3.79E-58,37.2,180
Q9N3F2,,0.079996411,-0.199122642,0.009538825,0.214926589,0.227168425,2.83E-214,43.6,507
Q9N3F7,,-0.195977459,-0.547844628,-0.666483931,-0.635336495,-0.656267535,4.32E-49,28.6,315
Q9N3F8,ral-1,-0.550408193,-0.295017665,0.224772426,0.377275763,0.3700233,3.02E-38,39.4,213
Q9N3G0,,-0.524966332,-0.496206666,-0.737427183,-0.263995882,-0.383165125,7.01E-115,49.8,253
Q9N3G1,,0.441203393,-1.04313449,NA,NA,NA,1.99E-55,18.9,455
Q9N3G2,,0.42839114,NA,NA,NA,NA,2.11E-05,4.2,519
Q9N3H3,,0.008319438,-0.254594043,-0.219338923,-0.479851387,-0.491699201,3.93E-270,48,431
Q9N3H9,,-0.066123642,-0.424277164,-0.138290234,-0.485117645,NA,3.81E-133,56.4,149
Q9N3I5,,NA,NA,NA,NA,NA,6.12E-06,9.2,141
Q9N3J4,,NA,0.115034859,NA,NA,NA,2.18E-115,25.6,133
Q9N3L2,,-0.651866835,0.193222271,0.222228925,0.166567432,NA,1.37E-37,10.2,606
Q9N3L4,,-0.046281503,0.330102436,0.02519172,-0.268913416,-0.552377071,1.43E-23,15.5,485
Q9N3P1,,NA,NA,NA,NA,NA,1.34E-44,7.5,454
Q9N3Q8,daf-25,-0.147567207,-0.131457785,-0.356369214,-0.174150712,-0.312084262,3.01E-129,47.2,388
Q9N3Q9,,0.52605727,0.132040296,-0.364908555,-0.488515009,-0.797262055,5.02E-105,32.3,813
Q9N3R5,inx-22,NA,1.711795018,1.442771284,1.569093886,1.600336696,4.97E-94,17.5,462
Q9N3R7,mis-12,NA,NA,NA,0.066910859,0.14088917,1.07E-25,28,175
Q9N3R9,lpd-3,-0.393965276,-0.255802837,NA,2.242771888,1.138854519,6.24E-41,5.7,1577
Q9N3S2,rde-10,NA,NA,NA,NA,NA,5.83E-11,8,627
Q9N3S4;Q9N3S3;Q8MXS9,rnp-6,-0.167614841,-0.424814621,-0.184851546,-0.122341408,-0.036608829,1.51E-89,34.6,749
Q9N3S7,pcaf-1,-1.024319679,-0.294429602,-0.686343643,-0.565402204,NA,2.79E-42,25,767
Q9N3S8,,0.200498186,-0.024035935,-0.044603951,-0.168256923,-0.597602681,3.21E-89,43.6,280
Q9N3T2,crn-1,-1.043204499,-0.169540231,-0.095721922,0.24696033,0.495288092,5.42E-156,49.5,382
Q9N3T3,,NA,NA,NA,NA,NA,4.14E-10,12.6,230
Q9N3T5,spg-7,0.371067799,-0.264116022,0.040971781,0.198361215,0.16980959,1.83E-220,29.7,782
Q9N3T6,,NA,NA,NA,NA,NA,1.80E-08,4.9,468
Q9N3T8,msh-6,-1.126642531,0.190223384,0.520935037,0.747560119,0.821151531,0,33.5,1186
Q9N3U9,skr-14,-0.366364183,NA,NA,-0.810401972,NA,2.22E-110,42.6,197
Q9N3V3,grl-5,2.649004968,NA,NA,NA,NA,4.31E-34,20.5,220
Q9N3W1,clec-74,NA,NA,NA,NA,NA,2.47E-05,3,467
Q9N3X0,clec-70,0.488410518,NA,NA,NA,NA,1.77E-27,11.2,466
Q9N3X2,rps-4,-0.037311931,0.155373315,-0.040401515,0.139347023,-0.121015401,7.85E-299,72.2,259
Q9N3X3,,0.382250158,0.151938975,0.228300315,NA,0.174116704,1.03E-11,14.7,346
Q9N3X4,,NA,NA,NA,NA,NA,4.83E-82,35.7,115
Q9N3X8,rig-4,-1.914411444,-0.505586103,NA,NA,0.722991261,7.15E-35,4.5,2325
Q9N3Y1,,0.035741855,-0.252900029,-0.51893793,-0.023468281,-0.176960992,2.16E-44,6.5,506
Q9N3Y4,rabs-5,NA,NA,NA,NA,NA,2.22E-07,6.9,563
Q9N3Z3;Q9N3Z3-2,chk-1,NA,0.894885166,0.718948697,0.851677585,0.948948146,5.51E-109,24.7,503
Q9N405,smi-1,NA,NA,NA,0.50009545,NA,1.31E-20,11.8,254
Q9N408,tim-8,0.201791845,-0.29207495,-0.143785225,-0.118625514,-0.183581791,0,88,83
Q9N412,,-0.8667102,NA,0.302493041,0.355110057,0.348096437,1.23E-80,19.7,598
Q9N413,pvf-1,NA,NA,NA,1.891964051,2.385714194,1.26E-78,23.7,304
Q9N416,,NA,NA,NA,NA,NA,0.00030838,26,50
Q9N419,nsy-4,NA,NA,NA,NA,NA,1.29E-24,6.9,303
Q9N425,csn-3,-0.615981211,-0.011066201,0.108503042,0.253119727,0.252621194,1.36E-173,44.3,501
Q9N431,,NA,NA,NA,NA,NA,3.64E-51,22.6,159
Q9N437,smgl-2,NA,NA,NA,NA,NA,1.77E-11,7.5,1018
Q9N448,,NA,NA,NA,NA,NA,3.68E-08,4.6,414
Q9N456,glrx-10,-0.200504353,-0.08120326,-0.313245852,-0.146655222,-0.344374033,5.34E-109,78.1,105
Q9N457,,NA,NA,NA,NA,NA,6.31E-87,12.8,414
Q9N471,,NA,NA,NA,0.501646998,NA,2.90E-06,5.7,369
Q9N477,,0.43354526,0.053808146,-0.608998436,-0.563451034,-0.665392771,1.37E-87,33.9,561
Q9N478,,0.614513741,-0.011352507,-0.083519749,-0.214124805,-0.930548119,7.00E-147,26.5,732
Q9N488,,NA,NA,NA,NA,NA,8.89E-18,13.1,251
Q9N489,,0.403007628,-0.111298453,NA,-0.230571942,-0.10608026,5.14E-28,23.3,236
Q9N491,sqv-2,-0.697684871,NA,0.60702321,0.321928095,0.733483287,9.70E-54,19.1,330
Q9N492,pinn-1,-0.580917289,0.063363945,-0.026587622,0.212985526,0.219152403,2.07E-17,40.4,161
Q9N498,,NA,NA,NA,NA,NA,5.00E-16,10.6,113
Q9N499,,NA,NA,NA,NA,NA,0.00082624,7.9,140
Q9N4A5,,-0.236217064,0,-0.64745267,-0.283329168,-0.251688799,1.16E-241,48.8,451
Q9N4A7;Q9N4A7-2,npp-20,-0.018206857,-0.245860702,-0.145612247,0.068831337,0.051728095,3.61E-192,35.5,313
Q9N4B1,clp-7,-0.496820231,-0.238664592,-0.030689204,0.111274283,0.1126931,1.41E-187,13.1,778
Q9N4B2,clp-6,NA,NA,NA,NA,NA,1.45E-07,2.9,790
Q9N4B5,jtr-1,NA,0.174881951,NA,NA,NA,3.39E-10,15,167
Q9N4C2,cpsf-1,-0.543891766,-0.511063157,0.129907569,-0.096126889,-0.124195772,6.82E-58,8.3,1454
Q9N4C3,xpc-1,NA,0.287166541,0.091018051,0.795383473,0.365908626,1.20E-50,18.9,1119
Q9N4C6,,0.358139572,0.204266294,0.042412226,-0.077106244,NA,4.01E-54,46.1,152
Q9N4D8,nlp-40,-2.102758898,0.20361821,1.439128558,1.702139492,1.620911414,3.83E-46,30.9,123
Q9N4D9,Y74C9A.3,-0.289480386,-0.481712262,-0.034779158,-0.070938821,0.098258423,4.93E-60,54.7,234
Q9N4E1,,0.240758928,NA,NA,NA,NA,7.39E-10,7.5,308
Q9N4E2,,0.526036496,0.35655013,0.046384608,-0.043904394,-0.103799743,4.98E-186,50,308
Q9N4E7,,NA,NA,2.682788564,3.113161147,NA,7.27E-18,37.1,143
Q9N4E8,,0.267965298,-0.341416524,-0.211012193,-0.085424656,0.062565207,1.82E-19,19.4,341
Q9N4E9,ppfr-4,-0.673104098,0.272140521,0.322757883,0.815503873,0.340586867,1.48E-80,27.5,327
Q9N4F0,,NA,0.013334226,1.505860922,NA,2.074547391,3.03E-52,40,90
Q9N4F1,,0.194839643,0.136315233,0.625155259,0.553256777,0.51603722,2.83E-69,17.1,957
Q9N4F2,mdt-19,NA,NA,NA,NA,NA,3.59E-27,30.2,199
Q9N4F3;Q7YZG8;Q7YZG9,apb-1,-0.271784214,-0.391877677,-0.615510465,-0.268673925,-0.365580566,2.45E-229,42.8,955
Q9N4F4,gpa-17,-0.213627239,-1.18922364,-1.045512867,NA,-0.925847548,4.36E-28,12.6,406
Q9N4F9,,NA,NA,NA,NA,NA,0.0007665,7.7,220
Q9N4G4-2;Q9N4G4,sop-3,NA,NA,NA,NA,NA,1.33E-14,10.3,544
Q9N4G7,Y71F9B.2,-0.386369519,0.27245415,0.369874148,0.139648963,-0.121943734,2.25E-18,20.2,321
Q9N4G8,yop-1,-0.341416524,0.001934508,-0.031818626,0.30365001,0.464444667,6.10E-86,42.1,183
Q9N4G9,snr-7,-0.093154488,0.012999364,-0.069289713,0.249307751,0.042858016,4.89E-39,40.3,77
Q9N4H1,,NA,0.066064845,-0.244034582,0.388430992,-0.155360663,1.60E-16,11.3,432
Q9N4H4,pme-1,-1.136585153,0.495796588,0.531844212,0.695909562,0.791832375,1.49E-182,33.8,945
Q9N4H6,gst-43,0.207461118,-0.221938932,-0.259423152,-0.105543992,-0.22342255,1.08E-44,34.6,214
Q9N4H7,,0.089083176,-0.073271836,-0.039278795,-0.039419183,0.261638553,0,47.2,1232
Q9N4I0,arx-1,-0.607957565,-0.229957009,0.171823394,0.24917057,0.226020549,9.78E-116,21.6,425
Q9N4I1,dnc-5,NA,NA,NA,0.311721152,NA,1.75E-06,7.6,184
Q9N4I3,,0.328670391,0.150961523,-0.415542354,-1.120949069,-1.100237614,0,70.7,314
Q9N4I4,rpl-10a,0.245899248,0.26435652,-0.02672925,-0.092207438,-0.149389449,0,68.1,216
Q9N4I5,,NA,0.357344632,0.515645287,NA,NA,1.04E-24,20.4,289
Q9N4J2,vit-3,-3.654779217,3.081674833,4.557412081,3.995874027,4.525097801,0,72.3,1603
Q9N4J7,,NA,-0.218843151,-0.026870865,NA,0.270625606,5.14E-48,18.3,257
Q9N4J8,cct-3,0.025279809,0.107818836,-0.084608575,0.043616176,0.048307774,0,72.4,543
Q9N4K0,F54A3.5,-0.312084262,-0.260025656,-0.025028794,-0.356369214,-0.284277218,4.55E-164,50.5,105
Q9N4L5,,-0.138028045,0.107539027,0.341665108,0.19774887,0.186738016,8.26E-48,17,745
Q9N4L6,,-0.072860402,-0.727876901,-0.576377015,-0.670296504,-0.473838853,1.32E-95,19.2,447
Q9N4L7,cec-10,NA,NA,NA,NA,NA,7.46E-25,9.1,865
Q9N4L8,lpd-5,0.120607897,-0.157949154,-0.340619235,-0.658919801,-0.965618077,4.76E-48,60.2,176
Q9N4M0,pdp-1,NA,NA,-0.113433803,NA,NA,8.41E-11,7.3,451
Q9N4M4,anc-1,-0.164400135,-0.329066174,0.15407244,0.006535764,-0.192194165,0,56.1,8545
Q9N4M8,,NA,NA,NA,NA,NA,4.65E-05,4.2,360
Q9N4N2,,NA,NA,0.605156638,NA,NA,5.81E-07,20,125
Q9N4N3,perm-3,0.248810533,NA,-0.187387707,NA,NA,1.86E-68,47.7,174
Q9N4N4,swsn-6,-1.182692298,-0.798174969,-0.787348876,-0.396926676,-0.379510067,2.66E-119,42.9,436
Q9N4P0,,NA,NA,NA,NA,NA,8.76E-89,26.1,176
Q9N4P2;Q2AAC3,glrx-21,-0.192825404,-0.06253622,0.215831079,0.162121328,-0.217354814,3.46E-28,41.2,119
Q9N4P4,,NA,NA,NA,NA,NA,5.09E-17,15.9,258
Q9N4P9,exos-4.2,0.497404614,NA,NA,NA,NA,5.27E-17,24.9,241
Q9N4R6,lgc-26,NA,NA,0.245608443,NA,NA,1.62E-09,5.8,486
Q9N4S0,,-0.118359726,-0.02644598,-0.732746762,-1.004896843,-1.357101532,7.02E-84,37.1,213
Q9N4S3,,NA,NA,0.860006698,0.70401843,0.554167376,3.09E-18,17.4,340
Q9N4S8,,NA,NA,NA,NA,NA,8.09E-05,21.3,47
Q9N4U0,cyh-1,-0.392317423,-0.53913399,-0.352532557,-0.349704962,NA,7.30E-26,42.2,332
Q9N4U1,,0.690940257,0.048412205,-0.334568276,NA,NA,1.77E-64,41.7,252
Q9N4U2,col-71,NA,NA,NA,NA,NA,2.49E-38,13.2,371
Q9N4U5,smu-2,-0.324465006,-0.324925784,-0.721591399,-0.399444565,-0.225645121,1.28E-29,16.1,547
Q9N4V3;Q9N4V2,,-1.396926676,NA,NA,NA,NA,2.31E-80,9.7,401
Q9N4X1;O17116,,NA,NA,NA,1.818223183,2.185802347,2.97E-12,12.3,326
Q9N4X2,fbxc-51,NA,NA,NA,NA,NA,3.17E-19,6.9,508
Q9N4X8;Q9N5R3;G5ECL9,gst-10,1.588226681,0.90836109,0.661045102,-0.781401682,-0.97460273,2.10E-120,46.7,210
Q9N5R6;Q9N4Y2,,2.406827922,NA,NA,NA,NA,4.33E-13,11.5,418
Q9N4Y8;Q86S77;Q86S76,nuo-5,0.259702745,-0.064606975,-0.066950244,-0.412618959,-0.575699579,0,52.8,729
Q9N4Y9;Q9N4Y9-2,Y45G12B.2,NA,NA,NA,0.421090262,-0.360083296,3.20E-27,14.6,309
Q9N4Z0,Y45G12B.3,-0.247076832,-0.268434394,0.410946052,0.000274138,-0.055612157,1.60E-156,60.3,433
Q9N4Z2,,0.268816758,0.116128982,NA,-0.015497569,NA,8.28E-17,15.6,301
Q9N525,cyp-29a3,NA,NA,NA,NA,NA,0.00044534,2.4,503
Q9N527,col-109,1.54873349,NA,NA,NA,NA,1.51E-49,10,291
Q9N533,,-0.415542354,0.12536826,0.099633574,NA,-0.606631732,6.50E-34,4.9,3849
Q9N534,,NA,-0.136978812,0.287342595,-0.099766486,NA,1.07E-19,6.8,600
Q9N537,,-0.401739675,0.22083275,0.284335019,0.231853795,0.374430247,4.98E-61,80.3,193
Q9N538,dhs-9,-0.284514133,-0.889473543,-0.089769309,-0.200504353,0.369631808,5.62E-245,63.9,319
Q9N554,ell-1,NA,0.062896705,-0.335826224,NA,NA,7.10E-21,9.9,670
Q9N566,,NA,NA,NA,0.498015727,0.76493471,7.58E-36,18.5,492
Q9N575,,NA,NA,NA,NA,NA,1.19E-05,8.1,346
Q9N580,,0.490192699,-0.168770384,NA,NA,-0.476744584,6.92E-47,36,350
Q9N582,,NA,NA,NA,NA,NA,4.72E-08,16.8,256
Q9N583;Q95Y84,hcp-6,-1.672923127,-0.354339313,-0.177981556,0.093755877,0.468950476,6.93E-98,13.2,1724
Q9N584,,0.425539983,-0.140255134,-0.225521734,-0.308943288,-0.403049529,1.14E-125,23.8,660
Q9N585,ppw-2,0.861709766,-0.86844972,-0.44456106,-0.316029859,-0.60046007,0,44.8,975
Q9N588,,-1.960437572,0.119353652,0.348573974,0.82669344,1.129134247,7.61E-260,62.2,312
Q9N589,mtm-1,-0.253142153,-0.482745045,-0.034356597,0.01808891,0.019184999,1.33E-98,20.9,588
Q9N590,,-0.745968715,0.18211483,-0.09990111,-0.344828497,-0.095991913,3.48E-185,52.7,450
Q9N592,prp-31,-0.474358163,-0.382833229,-0.263034406,-0.163885117,-0.017066724,2.67E-81,35.7,504
Q9N593;Q6AW18,mat-1,-0.847756437,0.187115739,NA,NA,NA,6.36E-74,12.1,788
Q9N595;G5ED69,elpc-1,0.060096436,0.054691953,0.199967789,0.303881515,0.588270061,2.26E-244,26.9,1250
Q9N598,Y110A7A.11,0.132403964,-0.108624815,-0.008056555,0.069996968,-0.028852006,4.17E-99,34.3,254
Q9N599,pas-3,-0.320426911,0.020559942,0.179808781,0.430236727,0.474973511,1.19E-136,43.6,250
Q9N5A0,spe-5,NA,NA,NA,NA,NA,1.67E-36,7,501
Q9N5A1,mdt-20,-0.495183478,-0.069702167,-0.010063683,-0.419538892,-0.054779032,1.33E-23,33.3,198
Q9N5A2,,0.10932763,-0.127501219,-0.046560906,-0.108758614,NA,4.68E-59,34.6,327
Q9N5B3,,0.103937449,0.137330411,0.152243563,0.34327483,0.406215995,0,82.1,391
Q9N5B7;G5ECC3;G5EEU7;Q8WSP1;G5EFP1,rme-1,-0.470719061,0.455316795,0.609354324,0.672772532,0.549282292,0,60.1,786
Q9N5C4,,-0.260025656,0.527241911,NA,-0.882682173,-0.816886374,1.72E-43,15.6,578
Q9N5D3,sos-1,0.123606824,0.132783542,NA,NA,NA,4.62E-12,6,1493
Q9N5E3,thoc-1,-0.522156212,-0.923947815,-0.554343266,-0.337083076,0.215663539,1.13E-40,26.9,665
Q9N5E4,,-0.070938821,-0.381615625,-0.307545102,NA,-0.732833575,2.88E-161,54.6,130
Q9N5F6,,0.998529201,1.682232861,1.458822209,1.205696434,1.226577492,4.92E-205,8.9,1853
Q9N5G1,dhs-15,-0.241718175,NA,-0.297250121,NA,-0.398569276,2.43E-73,16.5,278
Q9N5G2,,NA,NA,NA,NA,NA,1.17E-52,16.7,281
Q9N5G3,dhs-14,0.034810459,0.041669549,-0.323658291,-0.704340813,-0.350836665,4.30E-172,43,279
Q9N5G9,,NA,-0.011495639,NA,NA,NA,2.34E-47,11.7,309
Q9N5I1,cyp-35a3,NA,NA,NA,NA,NA,1.19E-54,22.5,494
Q9N5J4,,NA,NA,NA,NA,NA,2.00E-31,33.8,373
Q9N5K1,sacy-1,-0.380396992,-0.240497517,-0.175045486,0.076082601,0.073833542,6.86E-156,44.4,630
Q9N5K2,rpb-5,-0.041383179,-0.06681251,-0.313361959,-0.176705738,NA,6.93E-56,55,211
Q9N5K3,syp-4,0.136997227,0.849570302,0.627716487,0.35322905,-0.198242682,5.62E-80,22,605
Q9N5L0,,-0.118758389,-0.34879896,-0.350723534,-0.318577154,-0.172999473,6.11E-114,39.3,603
Q9N5L4,pme-4,NA,NA,NA,NA,NA,8.75E-08,6.4,485
Q9N5L9,athp-2,-1.395720913,-0.575796375,0.037487993,0.379901608,0.215981883,2.37E-56,12.3,1427
Q9N5M2,pdf-2,0.214692185,0.337120033,0.157109643,-0.07231164,0.022111983,6.32E-171,89.4,141
Q9N5M3,,NA,NA,NA,NA,NA,1.99E-14,11.9,168
Q9N5N8,sft-1,-0.593688409,NA,NA,NA,NA,1.01E-13,17.6,323
Q9N5R9;Q9N5S0,spt-16,-0.753347806,-0.247076832,-0.110630508,0.167393491,0.372860129,0,46.5,1030
Q9N5S5,,NA,NA,NA,NA,NA,2.86E-06,15.1,146
Q9N5S7,,1.9776677,-0.827168649,-1.270349529,-1.154971988,-1.939414661,1.04E-89,40.9,257
Q9N5S8;Q9N5S9,acl-4,NA,NA,NA,NA,NA,2.60E-27,5.3,617
Q9N5U1,,-0.570462931,0.141334633,0.202140336,0.097069743,0.324491154,0,65.1,882
Q9N5U5,,0.430547795,-0.244887059,NA,-0.714047649,-0.477573719,3.93E-86,32.1,535
Q9N5V0;Q9N5Y7,,-0.534460082,0.368066901,NA,NA,-0.459431619,7.32E-18,8.5,787
Q9N5V3,imb-3,0.16655124,0.238357289,-0.190172345,-0.096936483,-0.031254025,0,50.7,1092
Q9N5V4,,0.444203474,-0.006764782,-0.232783534,-0.995448338,-1.131194352,4.06E-130,29.3,642
Q9N5V6,ztf-3,NA,NA,NA,NA,NA,1.30E-11,6.8,336
Q9N5X0,fbxa-38,NA,NA,NA,NA,NA,0.00052623,4.6,303
Q9N5X3,fbxa-8,NA,-0.237686079,NA,NA,-0.254473108,6.92E-07,11.8,322
Q9N5X5,,NA,NA,-0.437547355,NA,0.072346228,8.36E-23,16.6,397
Q9N5X8,,1.066427362,NA,NA,NA,NA,9.22E-09,5.3,360
Q9N5X9,,1.169485047,NA,NA,NA,NA,6.46E-33,14.2,801
Q9N5Y2,art-1,0.173530831,0.334443502,-0.331475926,-0.671655699,-0.812539298,5.02E-130,34.4,308
Q9N5Z0,,NA,NA,NA,NA,NA,3.83E-26,11.9,640
Q9NA26,vps-28,-0.536550296,0.038643382,0.205147492,0.30365001,-0.074505436,2.56E-21,14.3,210
Q9NA28,,NA,NA,NA,NA,NA,4.03E-15,15.7,489
Q9NA30,atg-4.1,-0.369941022,-0.637563879,-0.209390977,-0.147827668,-0.277151611,1.32E-36,22.9,454
Q9NA31;D3NQB4;D3NQB5;Q8I7N4;O01964,tag-349,NA,NA,NA,NA,0.523442037,5.08E-53,16.1,485
Q9NA32,,0.033643367,-0.315102453,-0.184343778,NA,-0.277627748,7.89E-67,51.5,169
Q9NA33,,0.681492258,0.267253238,NA,NA,NA,2.37E-20,8.8,476
Q9NA34;A5HWB1;Q8I0Y8,ntl-11,NA,NA,NA,NA,NA,3.82E-15,8,640
Q9NA35;D3NQB3,,-0.410666733,0.073605793,0.007202571,0.069012932,0.14739384,8.21E-37,16.4,481
Q9NA39,ccg-1,-0.99573776,-0.360195695,1.072118713,2.231955451,2.778828203,3.20E-270,67.7,294
Q9NA59,best-21,NA,NA,NA,NA,NA,6.35E-161,10.4,395
Q9NA69,,-0.379953597,-0.180020521,-0.259664184,-0.001009533,-0.189792938,1.20E-100,28.7,710
Q9NA71,,NA,1.044657435,0.892258575,0.787069643,0.415095208,6.96E-57,7.4,1180
Q9NA72,Y57A10A.29,0.159830874,NA,NA,NA,NA,2.86E-63,29.4,119
Q9NA73,,0.332698241,NA,NA,NA,NA,4.80E-20,15,313
Q9NA74,,-1.356988892,-0.760944774,-0.228849468,0.193816197,0.477602706,2.53E-155,56.1,269
Q9NA75,,0.091909581,-0.313942357,-0.268434394,-0.655260226,-1.101313901,8.98E-63,23.7,295
Q9NA76,,0.690171894,0.221926025,NA,NA,NA,2.09E-44,18.6,490
Q9NA78,,1.874348898,-0.954419678,-2.276615769,-2.519214783,-2.784838968,9.43E-255,64,186
Q9NA80,sinh-1,NA,NA,NA,NA,NA,5.22E-48,10.7,642
Q9NA81,,-0.382390583,NA,0.17015044,-0.078746447,NA,2.02E-27,29.2,185
Q9NA83,rol-1,2.478909049,NA,NA,NA,NA,8.87E-40,10.9,458
Q9NA84,,NA,NA,NA,NA,NA,2.07E-10,8.7,503
Q9NA98,arp-1,-0.210388864,-0.133300476,0.181951159,0.369221787,0.496732689,2.36E-154,63.1,374
Q9NA99,,-0.261590989,-0.177598929,0.429731384,0.507254632,0.47838637,6.50E-21,6.8,1145
Q9NAA4,,0.460091803,0.127904099,0.249016257,-0.083655897,NA,2.12E-25,38.9,90
Q9NAA5,Y53F4B.13,-0.142478791,-0.411643176,-0.240863823,-0.012926174,-0.228356954,1.02E-74,24.3,927
Q9NAA7;Q9NAA8,,0.227134651,-0.225645121,-0.262793937,-0.319502329,-0.260989139,9.28E-79,42.6,439
Q9NAB0,gst-39,0.017066643,-0.466757616,0.084440857,0.387600317,0.18337572,6.62E-130,58.4,209
Q9NAB1,gst-29,-0.810319703,NA,-0.104605043,-0.723602246,NA,3.05E-120,37.8,209
Q9NAB2,gst-28,0.603643195,-0.0360461,-0.861637817,-1.435201856,NA,5.16E-64,59.3,209
Q9NAB3,gst-27,0.555311733,0.000707094,-1.263935809,-2.05509151,-2.500394166,1.95E-281,51.2,209
Q9NAB4;Q9BPM4,gst-26,0.596819551,-0.034497464,-1.223237181,-2.063019662,-2.480937189,3.24E-281,61.7,209
Q9NAB7,,-1.22897257,-0.13066734,1.042516232,0.858462575,0.412980721,0,41.5,535
Q9NAC0,,1.979373349,NA,NA,NA,NA,4.54E-13,14.2,254
Q9NAC1,,NA,NA,NA,NA,NA,1.88E-48,4.5,1168
Q9NAC5,,NA,NA,NA,NA,0.396859135,7.00E-33,23.5,179
Q9NAD6-2;Q9NAD6-3;Q9NAD6,sta-1,-0.240253262,-1.059424503,0.165046131,-1.303809967,-1.085356667,3.42E-52,17.5,567
Q9NAE1,,NA,NA,NA,NA,NA,5.58E-07,7.5,186
Q9NAE2,Y51H4A.7,-0.630032634,0.812561615,0.599068662,0.217155337,-0.238909117,6.18E-122,21.3,670
Q9NAF4,oig-3,0.062987127,-0.28368476,NA,NA,-0.032524066,4.83E-19,31.8,151
Q9NAF8,,NA,NA,NA,NA,NA,0.00035267,6,216
Q9NAF9,pinn-4,-0.13920752,0.687288364,0.032329673,0.109312068,0.153719318,3.68E-32,38.1,126
Q9NAG2,mrpl-20,NA,NA,NA,NA,NA,1.79E-27,33,191
Q9NAG4,mac-1,0.521224881,-0.079975377,-0.026020971,-0.108357178,-0.222804561,6.73E-218,36.2,813
Q9NAG5,,-0.213378391,-0.203764966,0.236146548,0.038584109,-0.012211084,1.02E-130,46.7,321
Q9NAH3,teg-1,-0.272501021,0.706299929,-0.134615244,-0.047677975,-0.134352387,3.19E-55,36.5,370
Q9NAH4,Y47D3A.21,0.45189881,0.82219699,-0.167614841,0.356365425,0.830716339,5.08E-74,37.5,192
Q9NAH6,rsks-1,-0.067501049,-0.119820952,-0.069014678,0.036096831,0.018059692,3.42E-68,23.1,580
Q9NAH7,aakb-2,-0.400865778,NA,0.162379635,0.356938088,0.029367183,1.66E-52,46.7,274
Q9NAH8,,NA,NA,NA,NA,NA,0.00038638,5.2,287
Q9NAI5;Q9U2J6,,0.17440973,-0.128293401,-0.045023522,-0.182056609,-0.526168995,0,78.2,316
Q9NAI7,,0.017271039,0.027763199,0.123921208,-0.328606717,-0.140386032,5.27E-12,41.2,68
Q9NAI9,,-0.800661803,0.447878731,0.194806617,0.410792609,0.517936509,1.69E-68,48.2,305
Q9NAJ4,,1.293040736,NA,NA,NA,NA,8.54E-49,9.6,586
Q9NAK5,clec-4,NA,NA,NA,NA,NA,1.33E-15,11.5,425
Q9NAM2,,NA,NA,NA,NA,NA,7.77E-08,4.8,484
Q9NAM7,Y105C5B.9,-0.236584458,-0.616075342,-1.084472517,-1.59645814,-2.390777727,1.64E-70,49.3,288
Q9NAN1,uba-2,-1.028356976,-0.356481902,-0.214124805,0.247354156,0.483984853,1.30E-159,30.6,582
Q9NAN2;Q9NAN2-2,par-6,NA,NA,-0.349591743,NA,-0.06060083,2.67E-74,24.6,309
Q9NAN8,pfs-2,NA,NA,NA,-0.715541987,NA,1.06E-47,13.7,809
Q9NAP0,clec-190,-2.573859222,0.745188299,3.734332675,3.641783805,3.965198309,4.03E-135,48.1,233
Q9NAP7;E5QCI5,,0.395530092,0.063665471,-0.029982866,-0.330099418,-0.351967481,9.23E-33,15.7,313
Q9NAP8;Q7YTJ7,,1.701247854,NA,NA,NA,NA,7.22E-28,10.1,367
Q9NAP9,mrps-15,0.375871024,-0.301704696,-0.261831659,-0.171078696,-0.182692298,2.89E-96,60.9,330
