Uniprot ID,Gene Name,Log2 Ratio L/H AgWTD01.1,Log2 Ratio L/H AgWTD01.2,Log2 Ratio L/H AgWTD01.3,Log2 Ratio L/H AgWTD01.4,Log2 Ratio L/H AgWTD12.1,Log2 Ratio L/H AgWTD12.2,Log2 Ratio L/H AgWTD12.3,Log2 Ratio L/H AgWTD12.4,log abs.LFQ AgWTD01.1,log abs.LFQ AgWTD01.2,log abs.LFQ AgWTD01.3,log abs.LFQ AgWTD01.4,log abs.LFQ AgWTD12.1,log abs.LFQ AgWTD12.2,log abs.LFQ AgWTD12.3,log abs.LFQ AgWTD12.4,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgWTD01.1 Corrected,log abs.LFQ AgWTD01.2 Corrected,log abs.LFQ AgWTD01.3 Corrected,log abs.LFQ AgWTD01.4 Corrected,log abs.LFQ AgWTD12.1 Corrected,log abs.LFQ AgWTD12.2 Corrected,log abs.LFQ AgWTD12.3 Corrected,log abs.LFQ AgWTD12.4 Corrected
Q9TXL3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00032952,8.6,139,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXN6,atg-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18E-19,5.5,880,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXN9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19E-20,10.3,358,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXP0,rps-27,0.952154539,0.519300584,0.527117166,0.469150173,0.143834958,0.306537575,0.211815457,0.280247043,7.884704759,7.783067043,7.076166939,6.152043602,7.141669217,7.859654578,7.061188505,7.089657882,5.28E-38,50.6,83,7.4897665,7.483054588,7.394132723,6.854217727,6.753830373,7.358830559,7.320116027,7.354726813
Q9TXQ1-2;Q9TXQ1,pme-5,-0.038436182,-0.585347168,NA,NA,0.092263271,0.359730766,0.145605322,0.019638293,4.532321142,4.507613031,NA,NA,4.781367567,4.65000623,4.061904634,3.547306941,0,27.4,2238,4.137382884,4.207600575,NA,NA,4.393528723,4.149182211,4.320832156,3.812375873
Q9TXQ6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.753215246,NA,NA,1.18E-171,48.9,131,NA,NA,NA,NA,NA,5.252391227,NA,NA
Q9TXQ8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01E-09,17.4,259,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXQ9,eaf-1,NA,NA,NA,NA,NA,NA,NA,NA,5.285174601,NA,NA,NA,NA,5.185881978,NA,NA,6.51E-109,32.3,251,4.890236343,NA,NA,NA,NA,4.685057959,NA,NA
Q9TXR0,,NA,NA,NA,NA,0.549113407,0.501483599,0.9635037,0.8892626,3.769022655,NA,NA,NA,5.162773439,4.983472927,4.298547435,4.689388783,3.73E-143,29.3,1145,3.374084397,NA,NA,NA,4.774934595,4.482648907,4.557474957,4.954457715
Q9TXR4,msh-2,-1.263395035,-1.469104522,NA,NA,0.861552476,0.593876987,0.518825078,0.720374191,5.068890554,4.480983725,NA,NA,5.711646974,5.985174897,4.840181399,4.563492951,2.43E-199,27.6,849,4.673952296,4.18097127,NA,NA,5.323808131,5.484350877,5.099108921,4.828561883
Q9TXR6;G4SNP7,dpy-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78E-07,2.6,1286,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXR7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.70E-26,18.8,213,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXS0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40E-55,11.8,968,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXS4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14E-33,52,171,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXT9,bcmo-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44E-112,27.7,530,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXU1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42E-08,6.4,346,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXU2;Q8ITW7,,-0.017066724,-0.508225799,NA,NA,1.042486515,0.603818586,0.742965236,0.714443902,5.503994849,5.068482714,NA,NA,5.78745339,5.897121036,5.169468698,5.270795253,3.31E-139,22.2,820,5.109056591,4.768470259,NA,NA,5.399614546,5.396297017,5.42839622,5.535864185
Q9TXU7,eif-1.a,-0.243181602,NA,-0.033792989,NA,NA,NA,NA,NA,5.967594773,5.186080086,5.421241864,NA,5.596630079,5.521961416,NA,4.884143717,9.83E-54,46.3,216,5.572656515,4.886067631,5.739207648,NA,5.208791235,5.021137396,NA,5.149212648
Q9TXV2;Q7YXV5,tat-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.01E-48,4.3,1314,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXV4,denn-4,0.065642024,NA,NA,NA,NA,NA,NA,NA,4.480509973,NA,NA,NA,3.981048059,4.164709664,4.51649571,4.591120282,1.29E-46,9.7,1635,4.085571715,NA,NA,NA,3.593209215,3.663885644,4.775423233,4.856189214
Q9TXV7,F52C12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.28E-15,9.8,451,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXV8,abt-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54E-124,12.9,1802,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXY8,trx-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.050766311,5.105101245,NA,NA,5.600744259,5.859324469,3.24E-14,36.4,107,NA,NA,5.368732095,5.807275369,NA,NA,5.859671782,6.124393401
Q9TXZ4,ugt-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63E-77,18.6,531,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXZ6,ugt-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41E-162,34.4,532,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXZ7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.89E-45,48.1,108,NA,NA,NA,NA,NA,NA,NA,NA
Q9TXZ9,ykt-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94E-39,39.3,201,NA,NA,NA,NA,NA,NA,NA,NA
Q9TY03,frh-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25E-35,46.3,136,NA,NA,NA,NA,NA,NA,NA,NA
Q9TY07,dnj-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99E-13,6.8,249,NA,NA,NA,NA,NA,NA,NA,NA
Q9TY08,syx-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00E-08,6.4,329,NA,NA,NA,NA,NA,NA,NA,NA
Q9TY23,pqn-22,0.568623082,0.162508806,0.401787267,0.463966999,0.712267677,0.558771511,0.675534994,0.675304586,8.056599976,7.767326581,7.421571025,7.078674273,8.214154786,8.118099312,7.441993463,7.297519777,0,44.2,591,7.661661718,7.467314126,7.739536808,7.780848398,7.826315942,7.617275293,7.700920986,7.562588709
Q9TYJ3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88E-07,11.7,163,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYJ7,dpm-1,0.320197899,-0.416839742,0.432999803,NA,NA,0.272610991,0.285495095,0.702890774,5.804548308,5.526158284,5.276806346,NA,NA,5.621425566,5.31386722,5.159597268,1.48E-130,50.2,239,5.40961005,5.226145828,5.594772129,NA,NA,5.120601547,5.572794743,5.4246662
Q9TYJ8,mrpl-55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27E-30,40,125,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYK0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.61E-21,18,217,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYK1,Y66H1A.4,0.264408506,NA,NA,NA,NA,NA,NA,NA,6.187943529,5.572383618,NA,NA,NA,5.748490377,NA,NA,2.20E-100,25.8,244,5.793005271,5.272371163,NA,NA,NA,5.247666358,NA,NA
Q9TYL2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78E-124,37.7,297,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYL9,copb-1,0.208994481,-0.247927513,-0.565987041,0.020208768,0.744438841,0.681445983,0.92749627,0.686080854,6.359740648,6.094785468,5.346509449,4.744973236,6.373169559,6.596674052,5.74263088,5.462622575,0,47,971,5.96480239,5.794773013,5.664475233,5.447147361,5.985330715,6.095850033,6.001558402,5.727691507
Q9TYM6,Y48A5A.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.098436045,NA,NA,2.52E-81,22.5,431,NA,NA,NA,NA,NA,4.597612026,NA,NA
Q9TYN2,,-1.514147515,NA,NA,NA,NA,0.393046168,NA,NA,4.24062412,NA,NA,NA,NA,5.188084374,NA,NA,2.45E-68,31,554,3.845685862,NA,NA,NA,NA,4.687260354,NA,NA
Q9TYN3,taf-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.678518379,NA,NA,NA,3.66E-13,5,1086,NA,NA,NA,NA,4.290679535,NA,NA,NA
Q9TYN4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.77662129,NA,NA,NA,NA,NA,NA,1.53E-07,14.6,157,NA,4.476608835,NA,NA,NA,NA,NA,NA
Q9TYP0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00028313,6.9,188,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYP1,strm-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34E-20,7.5,334,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYP2,cic-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95E-27,6.3,302,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYP8,,0.522529897,0.022551543,NA,NA,NA,NA,NA,NA,4.989814543,5.160618572,NA,NA,NA,4.903665046,NA,NA,3.53E-26,25.1,414,4.594876285,4.860606117,NA,NA,NA,4.402841027,NA,NA
Q9TYP9,mca-2,-0.458277001,NA,NA,NA,0.661638343,0.145078771,1.050562184,0.603752812,5.030518765,4.309502415,NA,NA,5.695551718,5.24221832,4.429542347,4.435828446,0,40.8,1158,4.635580507,4.00948996,NA,NA,5.307712875,4.741394301,4.688469869,4.700897377
Q9TYQ5,lin-33,NA,NA,NA,NA,NA,0.366131746,1.042486515,1.13175575,5.984261705,4.998045627,4.503300293,NA,NA,6.027431158,5.571999816,5.365581573,3.76E-38,37,243,5.589323447,4.698033172,4.821266077,NA,NA,5.526607138,5.830927339,5.630650504
Q9TYR0,,NA,NA,NA,NA,NA,0.881082177,0.949338109,0.846817264,4.808919585,NA,NA,NA,NA,6.060168812,5.54662902,5.40825693,4.48E-96,38.1,333,4.413981326,NA,NA,NA,NA,5.559344793,5.805556542,5.673325861
Q9TYS3,ftn-2,1.079234137,0.76667637,0.958588783,NA,NA,1.363716447,1.272192788,1.150080781,7.463385269,7.180039811,6.524486996,NA,6.305200845,7.420961881,6.511976891,6.568084331,5.72E-137,58.2,170,7.068447011,6.880027356,6.84245278,NA,5.917362002,6.920137862,6.770904413,6.833153263
Q9TYS7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33E-57,29.1,148,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYS8,calu-2,1.219505113,0.767216466,1.051429053,1.13106043,0.117051816,0.301603697,NA,NA,6.185202065,6.114577627,5.407832623,5.413199144,5.796525767,5.741324967,NA,4.313761796,4.44E-58,32.2,301,5.790263807,5.814565172,5.725798407,6.115373268,5.408686924,5.240500947,NA,4.578830728
Q9TYT3,shc-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.759501648,1.45E-45,23.7,316,NA,NA,NA,NA,NA,NA,NA,5.02457058
Q9TYT7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.40E-34,16,455,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYT8,,-2.056097924,NA,NA,NA,NA,1.391115077,NA,NA,5.675310811,5.774947397,NA,NA,NA,6.723677278,6.033021445,6.112973459,1.07E-50,16.7,222,5.280372553,5.474934942,NA,NA,NA,6.222853259,6.291948967,6.378042391
Q9TYU4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75E-125,22.6,588,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYU5,mys-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.056065929,5.074816441,3.932240319,NA,9.84E-28,17.9,458,NA,NA,NA,NA,4.668227086,4.573992421,4.191167842,NA
Q9TYV3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.754256574,NA,NA,5.88041912,NA,NA,NA,1.84E-87,24.5,473,NA,4.454244119,NA,NA,5.492580276,NA,NA,NA
Q9TYV5,nol-1,0.730703481,0.138012885,NA,NA,1.22610492,0.712362227,0.400796484,0.851339171,5.657610324,5.545443199,NA,NA,5.9233632,5.675402524,4.931452785,5.137385764,4.67E-176,30.4,664,5.262672066,5.245430744,NA,NA,5.535524356,5.174578504,5.190380307,5.402454696
Q9TYW1,vha-19,0.280352168,0.154682581,0.324689891,NA,1.099278072,0.669120399,0.883608626,1.109950273,6.972859802,6.786815284,6.517090282,6.3654131,7.464176456,7.182756931,6.825478048,6.600199403,3.61E-261,29.5,451,6.577921544,6.486802829,6.835056065,7.067587225,7.076337613,6.681932912,7.08440557,6.865268334
Q9TYW7,grd-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.529520181,5.445713152,NA,NA,2.22E-88,30.4,181,NA,NA,NA,NA,5.141681338,4.944889133,NA,NA
Q9TYX1,dpf-5,NA,NA,NA,NA,NA,NA,NA,NA,4.211654401,4.240723929,NA,NA,4.454341701,4.68297495,NA,3.771043353,0,39.6,737,3.816716142,3.940711474,NA,NA,4.066502858,4.182150931,NA,4.036112285
Q9TYY0,,-1.317072478,-1.796390097,-1.72141641,-1.653839642,0.444281991,0.636840139,0.52002448,0.60416943,5.539590421,5.457230724,4.731000175,4.65040467,6.473705887,6.492243397,5.483130656,5.501264716,2.65E-281,39.1,580,5.144652162,5.157218269,5.048965959,5.352578794,6.085867043,5.991419377,5.742058178,5.766333647
Q9TYY4,ugt-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23E-16,10,529,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYY5,ugt-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05E-39,13.3,532,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYY6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.656644322,NA,NA,NA,5.534153074,NA,NA,4.49E-07,11,173,NA,4.356631867,NA,NA,NA,5.033329055,NA,NA
Q9TYY8,,-1.345396375,-1.111164889,NA,-0.890563427,0.672887529,0.438502779,0.484771992,0.138536863,4.798505626,5.137575634,4.211093831,4.288763276,5.582358855,5.867107882,5.161487791,4.38309693,9.15E-222,35,900,4.403567368,4.837563179,4.529059615,4.990937401,5.194520012,5.366283863,5.420415313,4.648165862
Q9TYY9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-38,12.5,481,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYZ1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22E-35,16.5,285,NA,NA,NA,NA,NA,NA,NA,NA
Q9TYZ2;Q9TYZ3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.396670014,NA,NA,NA,3.67E-105,28.2,393,NA,NA,NA,NA,5.00883117,NA,NA,NA
Q9TYZ6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.64E-10,10.6,141,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZ21,fbxa-54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03E-11,14.2,338,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZ26,fbxa-60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37E-14,8.2,353,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZ27,fbxa-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93E-08,11.1,316,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZ33,ucr-2.3,0.021013668,NA,NA,NA,0.845883464,0.546961862,NA,NA,6.101162582,5.518250651,NA,NA,6.456973014,6.22868261,NA,4.736029787,0,39.3,427,5.706224324,5.218238196,NA,NA,6.06913417,5.72785859,NA,5.001098719
Q9TZ49,sgcb-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26E-06,7,287,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZ51,far-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65E-104,61.6,138,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZ58,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.06E-77,30.9,265,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZ64,klf-1,0.824903401,-0.140909507,NA,NA,NA,0.229822163,NA,NA,5.480624869,5.144885418,NA,NA,NA,5.193958978,NA,NA,5.60E-13,8.5,497,5.085686611,4.844872963,NA,NA,NA,4.693134959,NA,NA
Q9TZ68,cox-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.39E-12,55.6,63,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZ69,ubc-20,-0.669843154,-0.888304895,NA,NA,NA,0.680798288,0.532261435,0.744656386,6.31202918,6.036748629,5.132963726,NA,6.090399149,6.502672878,5.694429691,5.746377282,8.57E-75,47.7,199,5.917090922,5.736736174,5.45092951,NA,5.702560306,6.001848858,5.953357213,6.011446214
Q9TZ88,,-2.181261604,NA,NA,NA,NA,0.127714939,NA,0.513934406,5.336379672,NA,NA,NA,NA,6.100887255,4.90915471,4.492969805,3.33E-43,37,235,4.941441414,NA,NA,NA,NA,5.600063236,5.168082232,4.758038737
Q9TZ90,mrpl-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57E-30,39.2,189,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZ93,spt-4,NA,NA,NA,NA,NA,NA,NA,NA,5.586193336,NA,NA,NA,NA,5.633195673,NA,NA,5.30E-33,46.7,120,5.191255078,NA,NA,NA,NA,5.132371654,NA,NA
Q9TZA0,klo-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62E-23,10.3,475,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZC4,pat-4,0.09187883,-0.088820033,-0.065158675,0.236197527,0.671623066,0.673922915,0.804375229,0.808639492,6.809492377,6.47839332,6.236587641,5.396007448,7.032417279,6.930459984,6.35875314,5.989062518,3.59E-84,17.8,466,6.414554119,6.178380865,6.554553425,6.098181572,6.644578435,6.429635964,6.617680662,6.254131449
Q9TZC6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.26E-21,13.7,454,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZC7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87E-09,6.9,435,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZC8;Q86MI3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22E-239,47.3,556,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZD0,lst-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02E-18,3.8,661,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZD9,haf-4,NA,NA,NA,NA,NA,NA,NA,NA,3.323458367,NA,NA,NA,NA,NA,NA,NA,3.98E-206,24.5,787,2.928520109,NA,NA,NA,NA,NA,NA,NA
Q9TZE0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52E-214,80.4,102,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZE4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.241994489,NA,NA,NA,NA,NA,1.31E-18,48,150,NA,NA,4.559960273,NA,NA,NA,NA,NA
Q9TZH1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58E-31,7.4,579,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZH6,pcbd-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.571452604,NA,NA,NA,4.670088068,4.265053789,3.58E-137,59.9,142,NA,NA,3.889418388,NA,NA,NA,4.92901559,4.53012272
Q9TZH8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.84E-51,22.8,325,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZH9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66E-09,8.9,280,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZI1,T10B11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.381818772,NA,NA,NA,9.50E-101,23.3,549,NA,NA,NA,NA,4.993979928,NA,NA,NA
Q9TZI2,ztf-4,-0.276198865,NA,NA,NA,0.485700965,NA,0.215127538,NA,5.85262636,5.257102333,NA,NA,6.31827208,5.795859171,5.301203679,5.105816637,9.76E-29,13.1,367,5.457688102,4.957089878,NA,NA,5.930433237,5.295035151,5.560131201,5.370885569
Q9TZI4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.320789978,4.220291186,NA,1.83E-13,8.7,758,NA,NA,NA,NA,NA,3.819965958,4.479218708,NA
Q9TZI7,acs-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.73E-20,10,569,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZI9,spe-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74E-67,13.6,1219,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZK4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00052078,9,144,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZK8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.271446614,7.37E-37,3.4,832,NA,NA,NA,NA,NA,NA,NA,5.536515545
Q9TZL6,,NA,-1.608194192,NA,NA,NA,2.031621659,2.134223681,1.79260687,NA,5.066847511,NA,NA,4.657514776,6.512991068,6.049140463,5.64777405,1.88E-05,1.5,1013,NA,4.766835056,NA,NA,4.269675933,6.012167049,6.308067985,5.912842982
Q9TZL8;Q95X24,pfk-1,0.553277947,-0.193834811,-0.381726359,-0.15263774,0.601562064,0.164835864,0.584436013,0.683089658,6.063671054,5.955865664,4.890242122,4.933016294,6.35911422,6.193096758,5.215690426,5.311775046,9.69E-248,30.3,814,5.668732796,5.655853209,5.208207906,5.635190418,5.971275377,5.692272739,5.474617948,5.576843977
Q9TZL9,fard-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.682271464,NA,NA,NA,4.174321527,4.68E-106,37.1,536,NA,NA,NA,5.384445588,NA,NA,NA,4.439390459
Q9TZM3,lrk-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.86E-11,2.3,2393,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZM9;Q1XFY2,tag-343,-0.354339313,-0.909350696,NA,NA,0.477904065,0.283843148,NA,NA,5.340126706,4.850493072,NA,NA,5.356408327,5.716962742,NA,NA,2.58E-47,9,996,4.945188448,4.550480617,NA,NA,4.968569483,5.216138723,NA,NA
Q9TZN1,C43H8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39E-09,21.9,155,NA,NA,NA,NA,NA,NA,NA,NA
Q9TZS5;Q86S29,cct-7,0.114316315,-0.430820497,-0.405665675,-0.23388806,0.889797139,0.27182696,0.375889745,0.516883334,6.391111614,5.961117219,5.370864528,5.132483825,6.69980305,6.446971865,5.813173855,5.492159502,0,56.1,535,5.996173356,5.661104764,5.688830312,5.834657949,6.311964207,5.946147846,6.072101377,5.757228434
Q9U1N6,atg-4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46E-13,3.3,521,NA,NA,NA,NA,NA,NA,NA,NA
Q9U1P7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23E-37,41,144,NA,NA,NA,NA,NA,NA,NA,NA
Q9U1P9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27E-41,16.7,468,NA,NA,NA,NA,NA,NA,NA,NA
Q9U1Q1,ubc-14,-0.138159145,NA,NA,NA,NA,0.4372325,NA,0.809271372,5.669985941,5.059033005,4.441365166,NA,NA,5.876396835,5.094086627,5.529648474,2.19E-52,34.7,170,5.275047683,4.75902055,4.75933095,NA,NA,5.375572815,5.353014149,5.794717405
Q9U1Q2,gpi-1,NA,-0.086783766,NA,NA,0.95257329,NA,NA,NA,4.333427121,5.031892988,NA,3.615508172,5.293848516,5.074523888,4.567496891,NA,0,57.9,551,3.938488863,4.731880533,NA,4.317682296,4.906009672,4.573699869,4.826424413,NA
Q9U1Q3,cyn-15,-1.677260161,-1.64878754,-1.260627908,-2.059562944,0.648145561,0.424494032,0.179906836,0.434441816,5.411148123,5.191646599,5.198162039,4.296006669,6.423442491,6.245265839,5.668628159,5.575834185,0,46.7,629,5.016209865,4.891634143,5.516127823,4.998180794,6.035603648,5.74444182,5.927555682,5.840903117
