Uniprot ID,Gene Name,Log2 Ratio L/H AgProp.Total1,Log2 Ratio L/H AgProp.Insoluble1,Log2 Ratio L/H AgProp.Soluble1,Log2 Ratio L/H AgProp.Total2,Log2 Ratio L/H AgProp.Insoluble2,Log2 Ratio L/H AgProp.Soluble2,Log2 Ratio L/H AgProp.Total3,Log2 Ratio L/H AgProp.Insoluble3,Log2 Ratio L/H AgProp.Soluble3,log abs.LFQ AgProp.Total1,log abs.LFQ AgProp.Insoluble1,log abs.LFQ AgProp.Soluble1,log abs.LFQ AgProp.Total2,log abs.LFQ AgProp.Insoluble2,log abs.LFQ AgProp.Soluble2,log abs.LFQ AgProp.Total3,log abs.LFQ AgProp.Insoluble3,log abs.LFQ AgProp.Soluble3,Posterior Error Probability,Sequence Coverage (%),Sequence Length (Amino Acids),log abs.LFQ AgProp.Total1 Corrected,log abs.LFQ AgProp.Insoluble1 Corrected,log abs.LFQ AgProp.Soluble1 Corrected,log abs.LFQ AgProp.Total2 Corrected,log abs.LFQ AgProp.Insoluble2 Corrected,log abs.LFQ AgProp.Soluble2 Corrected,log abs.LFQ AgProp.Total3 Corrected,log abs.LFQ AgProp.Insoluble3 Corrected,log abs.LFQ AgProp.Soluble3 Corrected,log2 Aggregation Propensity 1,log2 Aggregation Propensity 2,log2 Aggregation Propensity 3,log2 Median Aggregation Propensity,Median Aggregation Propensity Percentage
Q65ZJ0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68E-07,4.7,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q65ZJ1,toe-2,NA,NA,0.213972465,NA,NA,NA,NA,NA,NA,NA,4.788423375,5.43506359,NA,NA,NA,5.098609119,NA,NA,2.37E-60,28.8,607,NA,5.103849976,5.31259734,NA,NA,NA,5.125930544,NA,NA,NA,NA,NA,NA,NA
Q65ZK1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.55E-14,19.2,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q688B0;Q95XE8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35E-14,7.8,822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q688C0,mrps-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58E-14,9.8,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q688Z3;Q688Z4,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.603036056,NA,6.622089625,6.173943437,4.114058086,6.448149572,6.811011666,NA,7.124569429,7.38E-128,25.3,825,6.563371304,NA,6.499623375,6.395705886,4.346045388,6.557508747,6.838333091,NA,7.045020637,NA,NA,NA,NA,NA
Q688Z6;Q9BMU4,4D561,0.331209166,-2.384685337,0.359138489,-0.08827731,-2.900412801,0.109016409,0.775021291,-3.04861983,0.496000036,6.942266071,5.136090274,7.162026432,6.766888526,5.586150957,5.908919096,6.708947513,5.563935248,6.825581891,5.69E-227,33.8,535,6.902601319,5.451516875,7.039560182,6.988650975,5.818138258,6.018278272,6.736268938,5.8733125,6.746033099,-2.715894503,-2.812135491,-3.823641121,-2.812135491,14.23845494
Q689A0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.493198415,NA,4.14E-22,13.8,319,NA,NA,NA,NA,NA,NA,NA,5.802575667,NA,NA,NA,NA,NA,NA
Q69YZ0;Q69YZ1;Q9U2K1,pqn-83,NA,NA,0.506660091,NA,NA,1.025676277,NA,NA,NA,NA,NA,7.349957099,NA,NA,7.623900244,NA,NA,6.977883579,1.48E-27,8.9,304,NA,NA,7.227490848,NA,NA,7.73325942,NA,NA,6.898334787,NA,NA,NA,NA,NA
Q69Z12,,NA,NA,0.635382747,NA,NA,NA,NA,NA,NA,7.061452479,NA,7.094610863,NA,NA,6.195927314,NA,NA,7.350325564,6.01E-114,71.2,153,7.021787727,NA,6.972144613,NA,NA,6.305286489,NA,NA,7.270776772,NA,NA,NA,NA,NA
Q69ZI6,,0.530926745,NA,0.446187343,NA,NA,NA,NA,NA,NA,7.544316142,NA,7.457866764,NA,NA,NA,6.370772072,NA,6.898083136,2.40E-45,46.9,98,7.50465139,NA,7.335400514,NA,NA,NA,6.398093496,NA,6.818534344,NA,NA,NA,NA,NA
Q6A573,,0.642031433,-3.356988892,-0.380618638,-0.39462389,-3.843782898,NA,0.19272752,-2.171142763,0.128534813,6.240199675,4.563658564,6.516707207,6.051036695,4.802825587,NA,6.314457123,5.078734976,6.130462429,2.77E-64,22.1,511,6.200534923,4.879085165,6.394240957,6.272799144,5.034812889,NA,6.341778547,5.388112227,6.050913637,-3.999020325,-3.449159007,-2.363870283,-3.449159007,9.155871291
Q6A575,mrpl-21,NA,-1.386148755,NA,NA,-2.275990368,NA,0.746857847,-2.313129735,0.49307314,NA,6.021700712,6.010766234,NA,5.642111497,5.954034964,6.630834518,5.407709582,6.798726589,6.81E-23,34.5,171,NA,6.337127313,5.888299983,NA,5.874098799,6.063394139,6.658155942,5.717086833,6.719177797,NA,NA,-3.059987582,-3.059987582,11.9909047
Q6A576;Q6A577,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45E-42,13.8,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6A578,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.70E-46,21.6,431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6A586,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81E-16,13.2,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6A589,ubxn-3,-0.169283661,NA,-0.104202449,-0.826436626,-2.201445671,-1.061292338,0.408109986,-2.718789028,0.081705368,6.694640292,4.738573363,6.834172646,6.419427008,5.882272704,5.879932682,6.679282502,5.494836226,6.599970359,1.37E-62,21.4,627,6.65497554,5.053999964,6.711706396,6.641189457,6.114260005,5.989291857,6.706603926,5.804213478,6.520421567,NA,-1.375009045,-3.126899014,-2.250954029,21.00851322
Q6A590,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18E-13,10,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6A597,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32E-18,20,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6A5A0,,-0.203514411,NA,0.177865405,0.42895428,NA,0.419584337,0.306287805,NA,0.291344819,6.673849977,NA,6.674851959,6.731217966,5.023075685,6.479460136,7.056447458,5.159084935,7.240798771,2.06E-57,17.1,432,6.634185225,NA,6.552385709,6.952980415,5.255062986,6.588819311,7.083768883,5.468462187,7.161249979,NA,NA,NA,NA,NA
Q6ABW4,gck-1,0.662528663,-1.00992041,0.160765972,0.576131437,-1.60928218,-0.186500558,0.778580695,-1.93858691,-0.269033146,6.415023456,5.273009537,6.320644711,5.820779258,5.594038064,6.406642355,6.695796776,5.524662649,6.410034503,9.18E-74,25.7,638,6.375358704,5.588436138,6.198178461,6.042541707,5.826025365,6.516001531,6.7231182,5.834039901,6.330485711,-1.672449073,-2.185413617,-2.717167606,-2.185413617,21.98492298
Q6AHP3,svh-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23E-09,3.1,1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6AHP8,fis-2,0.665157169,NA,-0.445408894,0.301532573,NA,NA,0.529218477,NA,0.539184058,7.201506367,5.608519859,7.014100322,6.44841257,5.472225303,6.703618051,6.947855067,NA,7.199453479,1.44E-06,12.6,151,7.161841615,5.92394646,6.891634071,6.670175019,5.704212605,6.812977227,6.975176492,NA,7.119904687,NA,NA,NA,NA,NA
Q6AHQ9;Q11086,C01C10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.632244648,NA,4.561518202,NA,5.84E-35,37.1,283,NA,NA,NA,NA,NA,5.741603824,NA,4.870895454,NA,NA,NA,NA,NA,NA
Q6AHR3;Q21994;Q9BI73;Q95QB6,,0.591331611,NA,0.511731802,0.700216118,-3.267370995,0.708349296,0.655807792,-3.120086471,0.72508834,6.809492377,5.180909437,6.927662874,6.37533434,5.78283305,6.916538167,7.131490346,5.843044326,6.976189439,3.79E-139,40.1,446,6.769827625,5.496336038,6.805196624,6.597096789,6.014820352,7.025897343,7.15881177,6.152421578,6.896640647,NA,-3.967587113,-3.775894263,-3.871740688,6.831088589
Q6AW03,,0.608980212,-3.799605422,0.519093823,0.661364509,-4.223190835,0.459496541,0.632830255,-4.253384236,0.681307167,7.818516206,5.775092024,7.912896629,7.325330905,6.812232125,7.659402726,7.770240625,6.838868385,7.736197239,0,63.4,837,7.778851454,6.090518625,7.790430379,7.547093354,7.044219427,7.768761902,7.797562049,7.148245637,7.656648447,-4.408585635,-4.884555344,-4.88621449,-4.884555344,3.385340258
Q6AW06;Q6AW05,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01E-122,13.7,946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6AW08,cogc-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.863310961,NA,NA,NA,5.122739993,NA,NA,5.75E-45,15.6,794,NA,NA,3.740844711,NA,NA,NA,5.150061417,NA,NA,NA,NA,NA,NA,NA
Q6AW09,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97E-28,21.9,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6AW16,ptc-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95E-104,14.7,1361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6AW19,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.302027726,NA,NA,NA,NA,NA,NA,5.53E-06,2.3,908,NA,NA,4.179561476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6BER5;B6VQ92;Q6BER5-3;Q6BER5-2;Q6BER5-5;Q6BER5-6;Q6BER5-4;F5GUF5;Q6BER5-7;Q6BER5-8,nurf-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.553713158,NA,NA,NA,NA,NA,NA,NA,NA,2.59E-36,6.1,2266,4.514048406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6BER6,mdt-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.657868199,NA,6.556507536,NA,NA,5.72856479,NA,NA,NA,8.02E-24,15.4,130,6.618203447,NA,6.434041286,NA,NA,5.837923965,NA,NA,NA,NA,NA,NA,NA,NA
Q6BES8,,0.281473974,NA,0.284370159,NA,NA,0.890572573,NA,NA,NA,7.020858282,NA,7.26653743,NA,NA,7.360536615,NA,5.515123236,NA,3.79E-10,40.6,64,6.98119353,NA,7.14407118,NA,NA,7.46989579,NA,5.824500487,NA,NA,NA,NA,NA,NA
Q6EUT3;Q6EUT4;Q8WQB2,hpo-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74E-08,3.6,922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6EZG4,glrx-3,0.181525701,-2.973703106,0.114519346,-0.125386605,-2.793313278,-0.39462389,0.362510312,-2.530345468,0.083767966,7.354185299,6.591152832,7.525511261,7.366815046,6.26280928,7.343723614,7.603274317,6.56590645,7.537932375,2.20E-256,50.3,342,7.314520547,6.906579433,7.403045011,7.588577495,6.494796582,7.45308279,7.630595741,6.875283702,7.458383583,-3.155228807,-2.667926673,-2.892855779,-2.892855779,13.46367555
Q6EZG5,hum-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44E-166,24.2,1144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6EZG8,,1.54376158,-5.307829218,1.3856388,1.011209898,-2.986520157,1.303828087,1.544392653,-3.035764654,1.585539694,7.582654147,6.020597591,7.673454063,7.408155134,6.042294712,7.737709352,7.671209881,5.973542981,7.649081609,0,66.2,385,7.542989395,6.336024193,7.550987813,7.629917583,6.274282013,7.847068528,7.698531306,6.282920233,7.569532817,-6.851590798,-3.997730055,-4.580157306,-4.580157306,4.180567749
Q6HAE7;G4SG25,fbxa-182;fbxa-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.42E-15,12.3,576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q71UE4,ins-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.352452662,NA,6.402931656,6.767215253,NA,6.785963016,NA,NA,6.539163953,5.10E-23,38.3,107,6.31278791,NA,6.280465406,6.988977702,NA,6.895322192,NA,NA,6.459615161,NA,NA,NA,NA,NA
Q75MI6,,0.260756747,-3.198902702,0.44789841,0.830562391,-4.195426346,0.726830279,0.591222934,-3.563890277,0.301977155,6.961463809,5.418446862,7.180269278,6.979880569,4.935166539,7.13462329,7.0918779,5.230833016,7.259044094,2.50E-131,55.2,181,6.921799057,5.733873463,7.057803027,7.201643019,5.16715384,7.243982465,7.119199324,5.540210268,7.179495302,-3.459659449,-5.025988737,-4.155113211,-4.155113211,5.612886859
Q7JKI3,pck-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.7,587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7JKP2;Q9U362,pgrn-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48E-09,4.3,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7JKP6,hsr-9,0.458723069,NA,0.683460322,-0.124460486,NA,-0.824890024,0.648846617,NA,0.788564097,6.311859774,NA,6.222300181,5.924087948,NA,5.759849078,6.167701235,4.079700037,6.182329041,0,38.5,1165,6.272195022,NA,6.099833931,6.145850397,NA,5.869208253,6.195022659,4.389077288,6.102780249,NA,NA,NA,NA,NA
Q7JL32,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45E-19,4,1390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7JL36;O45434,tbc-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.412006695,NA,NA,NA,NA,NA,2.48E-29,14.9,475,NA,NA,NA,5.633769144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7JL61;Q7JL62;E0AHC3;E0AHC6;E0AHC4,unc-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.51E-29,11.4,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7JLB1,ret-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,70.4,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7JLH5;Q22558,pqn-70,0.746228515,-3.117046681,NA,NA,NA,NA,0.675189397,NA,NA,6.812545721,5.350378088,NA,NA,5.20481088,NA,6.536128986,NA,6.398686354,2.17E-07,10.3,243,6.772880969,5.665804689,NA,NA,5.436798182,NA,6.56345041,NA,6.319137562,-3.863275197,NA,NA,-3.863275197,6.871290096
Q7JLJ0;Q8I4K2;Q7JLI9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.668628159,NA,5.979275148,NA,NA,NA,5.904958855,NA,5.860463784,5.66E-107,25.7,460,5.628963407,NA,5.856808897,NA,NA,NA,5.93228028,NA,5.780914992,NA,NA,NA,NA,NA
Q7JLS6;D3YT46;B3GWC9;D3YT47,,0.342213675,NA,-0.021763974,0.67821041,-5.306079922,0.583008972,0.113613738,-3.187514398,0.049262855,7.410979576,NA,7.483373306,6.873605387,5.107180791,7.296401902,7.04626098,5.44267821,7.366422957,2.26E-290,69.9,246,7.371314824,NA,7.360907056,7.095367836,5.339168093,7.405761077,7.073582405,5.752055461,7.286874165,NA,-5.984290333,-3.301128136,-4.642709235,4.003181299
Q7JMR0,evl-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.820621753,NA,5.772710344,NA,NA,NA,5.756110987,NA,5.834871932,4.24E-33,9.1,574,5.780957001,NA,5.650244093,NA,NA,NA,5.783432411,NA,5.75532314,NA,NA,NA,NA,NA
Q7JMS4,cyld-1,0.300537206,NA,NA,NA,NA,NA,0.593768118,NA,NA,5.366011817,NA,NA,NA,NA,NA,5.468332558,4.55817336,NA,2.13E-58,12.2,1144,5.326347065,NA,NA,NA,NA,NA,5.495653983,4.867550612,NA,NA,NA,NA,NA,NA
Q7JMS5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.572569581,5.563940893,NA,6.732490259,5.535011842,NA,1.01E-27,35.7,199,NA,NA,NA,6.79433203,5.795928194,NA,6.759811683,5.844389094,NA,NA,NA,NA,NA,NA
Q7JNG1;P91283,atp-3,0.721753509,-4.993991303,0.682719089,0.50371151,-5.988866432,0.766529106,0.697195501,-4.386466093,0.886646216,8.510826406,6.755313251,8.517011052,8.051229723,6.156265485,8.278502094,8.307560215,6.739591639,8.482101453,0,73.2,228,8.471161654,7.070739853,8.394544802,8.272992173,6.388252787,8.38786127,8.334881639,7.048968891,8.402552662,-5.715744812,-6.492577943,-5.083661594,-5.715744812,1.902783444
Q7JNM2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17E-08,5.8,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7JNW8,,0.919778963,NA,NA,NA,NA,NA,NA,NA,NA,6.155882358,4.622711819,NA,NA,NA,NA,6.380554922,NA,NA,1.41E-65,58.7,196,6.116217606,4.93813842,NA,NA,NA,NA,6.407876347,NA,NA,NA,NA,NA,NA,NA
Q7JP60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01E-29,11.2,516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7JP75,cyk-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.494224187,NA,5.242093984,NA,NA,NA,NA,NA,5.29666519,3.19E-18,6.3,1437,5.454559435,NA,5.119627734,NA,NA,NA,NA,NA,5.217116398,NA,NA,NA,NA,NA
Q7JP80,,0.787866492,-2.111331843,0.154104546,0.852797518,-2.340419844,0.857573491,0.782198524,-2.064710435,0.565054248,6.316075235,4.897148717,6.14783085,5.611829479,5.41345478,6.209783015,6.544588885,5.03480049,6.158302169,3.26E-103,19,911,6.276410483,5.212575318,6.0253646,5.833591929,5.645442081,6.319142191,6.57191031,5.344177742,6.078753377,-2.899198335,-3.193217362,-2.846908959,-2.899198335,13.40461478
Q7JPE2,cpna-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26.9,1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7JPE4,tat-4,0.537110062,NA,0.335662802,0.698576239,NA,0.820004948,0.524832087,-4.494351603,0.42447467,7.645491044,5.601794833,7.601027315,6.946619269,NA,7.628061809,7.648516134,6.271971479,7.756750181,2.57E-74,28.5,239,7.605826292,5.917221434,7.478561065,7.168381718,NA,7.737420984,7.675837558,6.581348731,7.677201389,NA,NA,-5.01918369,-5.01918369,3.083721549
Q7JPQ6,B0361.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.818140082,NA,5.164917666,5.054689643,4.349805445,4.839018999,NA,NA,NA,1.10E-174,40.7,627,5.77847533,NA,5.042451416,5.276452092,4.581792747,4.948378174,NA,NA,NA,NA,NA,NA,NA,NA
Q7K6J1,ceh-91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.15E-14,4.5,685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7K6X4;Q9U240,npp-16,0.164609458,-4.935506894,0.450084446,-0.319964694,-3.849498932,-0.643394453,0.39798028,-4.701216345,0.34168339,7.14420046,5.751188381,7.20709554,6.791915105,5.632471766,6.334292872,7.013132276,5.503498683,7.128786859,1.57E-191,45.9,497,7.104535708,6.066614982,7.08462929,7.013677554,5.864459068,6.443652047,7.040453701,5.812875935,7.049238067,-5.100116352,-3.529534238,-5.099196625,-5.099196625,2.917352195
Q7K707,gpi-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.345373731,0,54.8,586,NA,NA,NA,NA,NA,NA,NA,NA,5.265824939,NA,NA,NA,NA,NA
Q9U2M6;Q7K714,ceh-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01E-60,15,1343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7K742;Q9XW00,ddl-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65174308,5.684037037,NA,NA,5.686242903,NA,NA,5.83E-106,28.1,395,NA,NA,5.52927683,5.905799487,NA,NA,5.713564327,NA,NA,NA,NA,NA,NA,NA
Q7K755;Q7K755-2,gly-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53E-31,8.9,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7K798;Q9U302;Q7K797,pab-1,0.658082548,-2.54399072,0.095619953,0.560940754,-2.695860224,0.121251121,0.616945499,-2.111699072,0.310146235,8.167553621,7.166674906,8.186023493,7.86189269,7.187486296,7.590329025,7.935204867,7.091317695,7.917715517,0,57.1,583,8.127888869,7.482101507,8.063557243,8.08365514,7.419473598,7.6996882,7.962526292,7.400694947,7.838166725,-3.202073267,-3.256800978,-2.728644571,-3.202073267,10.86625514
Q7K7C1,,0.637221546,NA,0.683576175,-0.337425664,-1.802606834,NA,0.371347704,-3.574949191,NA,7.521909187,4.91899771,7.382233235,7.008600172,6.269454401,6.902584826,7.247113642,5.832376117,6.136910727,2.03E-104,52.4,124,7.482244435,5.234424311,7.259766985,7.230362621,6.501441703,7.011944002,7.274435066,6.141753369,6.057361936,NA,-1.465181169,-3.946296894,-2.705739032,15.32820821
Q7KNR1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.953706549,NA,NA,NA,NA,NA,9.47E-12,15.8,273,NA,NA,NA,6.175468998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7KPP4,unc-73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12E-64,11.1,1638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7KPV8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.17E-191,66.9,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7KPW7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.583050647,NA,6.131233595,NA,5.94439383,NA,NA,6.102913703,2.23E-24,23.3,377,NA,4.898477248,NA,6.352996044,NA,6.053753006,NA,NA,6.023364911,NA,NA,NA,NA,NA
Q7KQ32,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.58E-05,5.1,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7KQ33,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08E-16,50,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7KWZ2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.08E-06,36.2,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7YTF8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.28E-08,8.3,528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7YTG6,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34E-16,21.2,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7YTG9,cpsf-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.390369803,NA,NA,NA,NA,NA,NA,6.75E-33,31.1,302,NA,NA,5.267903553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7YTH0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.97E-08,7.1,296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7YTI4,,NA,-2.124129585,NA,NA,NA,NA,NA,NA,NA,5.652256013,5.658403238,6.098712931,5.785714122,5.897017657,5.858013563,NA,5.714428895,6.427453649,9.16E-64,33.8,302,5.612591261,5.97382984,5.97624668,6.007476572,6.129004959,5.967372739,NA,6.023806147,6.347904858,NA,NA,NA,NA,NA
Q7YTI7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.850027124,NA,6.857977427,6.321059629,NA,6.415056858,6.548450842,NA,6.861731501,6.36E-31,33.1,181,6.810362371,NA,6.735511177,6.542822078,NA,6.524416034,6.575772266,NA,6.782182709,NA,NA,NA,NA,NA
Q7YTJ0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.331832044,NA,NA,9.34E-09,3.5,405,NA,NA,NA,NA,NA,NA,5.359153469,NA,NA,NA,NA,NA,NA,NA
Q7YTJ3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38E-22,18.4,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7YTK7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50E-15,46.7,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q7YTL0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.153753906,NA,NA,NA,1.43E-09,42.3,71,NA,NA,NA,NA,NA,6.263113082,NA,NA,NA,NA,NA,NA,NA,NA
